ad_id,first_seen_date,snapshot_date,before,after
1859357856823649,20260317,20260403,(재)_부평_진료셀프캠_인천사는 50대 직장인_260311_off,(재)_부평_진료셀프캠_인천사는 50대 직장인_260311
1859358275806641,20260317,20260401,(재)_수원_진료셀프캠_하체비만 40대 통짜바지_260311,(재)_수원_진료셀프캠_하체비만 40대 통짜바지_260311_off
1859358275806641,20260317,20260403,(재)_수원_진료셀프캠_하체비만 40대 통짜바지_260311_off,(재)_수원_진료셀프캠_하체비만 40대 통짜바지_260311
1859358275807681,20260317,20260401,(재)_수원_진료셀프캠_수원사는 50대 직장인_260311,(재)_수원_진료셀프캠_수원사는 50대 직장인_260311_off
1859358275807681,20260317,20260403,(재)_수원_진료셀프캠_수원사는 50대 직장인_260311_off,(재)_수원_진료셀프캠_수원사는 50대 직장인_260311
1859358483046450,20260317,20260401,(재)_일산_진료셀프캠_복부비만 50대 통짜몸매_260311,(재)_일산_진료셀프캠_복부비만 50대 통짜몸매_260311_off
1859358483046450,20260317,20260403,(재)_일산_진료셀프캠_복부비만 50대 통짜몸매_260311_off,(재)_일산_진료셀프캠_복부비만 50대 통짜몸매_260311
1859358567112033,20260317,20260401,(재)_천안_진료셀프캠_상체비만 40대 팔뚝살부터_260311,(재)_천안_진료셀프캠_상체비만 40대 팔뚝살부터_260311_off
1859358567112033,20260317,20260403,(재)_천안_진료셀프캠_상체비만 40대 팔뚝살부터_260311_off,(재)_천안_진료셀프캠_상체비만 40대 팔뚝살부터_260311
1859417671501954,20260317,20260401,(신)_대구_인플방문후기_당뇨다이어트(대읽남)_260311,(신)_대구_인플방문후기_당뇨다이어트(대읽남)_260311_off
1859417671501954,20260317,20260403,(신)_대구_인플방문후기_당뇨다이어트(대읽남)_260311_off,(신)_대구_인플방문후기_당뇨다이어트(대읽남)_260311
1859538135129201,20260317,20260401,(신)_부평_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313,(신)_부평_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313_off
1859538135129201,20260317,20260403,(신)_부평_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313_off,(신)_부평_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313
1859538405086241,20260317,20260401,(신)_수원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313,(신)_수원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313_off
1859538405086241,20260317,20260403,(신)_수원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313_off,(신)_수원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313
1859538526785570,20260317,20260401,(신)_창원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313,(신)_창원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313_off
1859538526785570,20260317,20260403,(신)_창원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313_off,(신)_창원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313
1859538629607521,20260317,20260401,(신)_천안_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313,(신)_천안_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313_off
1859538629607521,20260317,20260403,(신)_천안_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313_off,(신)_천안_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313
1859895953149089,20260401,20260403,(재)_일산_진료셀프캠_50대 뱃살 체지방만_260317_off,(재)_일산_진료셀프캠_50대 뱃살 체지방만_260317
