캠페인 이름,광고 이름,광고 ID,일별,나이,비용,노출수,클릭수(목적지),CTR(목적지),전환수,전환당 비용,전환율(CVR),랜딩 페이지 조회(웹사이트),도달,통화
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_다이어트의적 밥빵면_260407,1861778669641809,2026-04-08,AGE_55_100,2112,438,2,0.46,0,0,0.0,0,389,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_다이어트의적 밥빵면_260407,1861778669641809,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_비만주사끊고15kg_260326,1861278293422097,2026-04-08,AGE_35_44,11,4,0,0.0,0,0,0.0,0,4,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_비만주사끊고15kg_260326,1861278293422097,2026-04-08,AGE_45_54,5,3,0,0.0,0,0,0.0,0,3,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_비만주사끊고15kg_260326,1861278293422097,2026-04-08,AGE_55_100,3,2,0,0.0,0,0,0.0,0,2,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_비만주사끊고15kg_260326,1861278293422097,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_식욕억제주사실패 마지막_260407,1861779512219682,2026-04-08,AGE_35_44,2691,407,2,0.49,0,0,0.0,0,387,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_식욕억제주사실패 마지막_260407,1861779512219682,2026-04-08,AGE_45_54,6804,550,6,1.09,2,3402,33.33,0,517,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_식욕억제주사실패 마지막_260407,1861779512219682,2026-04-08,AGE_55_100,4201,376,4,1.06,0,0,0.0,0,348,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225,1861278082187298,2026-04-08,AGE_35_44,4492,572,2,0.35,0,0,0.0,0,556,KRW
